step,date,ticker,kind,p_today,anchor_close,close,shares_before,shares_after,notional_f,trigger
14,2021-12-21,NASDAQ:BIIB,entry,0.1361887930138268,234.65,234.65,0.0,187.2384871714712,0.43935511014785716,
14,2021-12-21,NYSE:GNRC,entry,0.1361887930138268,348.20001220703125,348.20001220703125,0.0,84.62306799925888,0.2946575331033838,
14,2021-12-21,NYSE:FSLR,entry,0.1361887930138268,89.12000274658203,89.12000274658203,0.0,276.01812069983725,0.265987356748759,
39,2022-01-27,NYSE:GNRC,exit,0.1361887930138268,348.20001220703125,256.989990234375,84.0,0.0,,DD
39,2022-01-27,NYSE:APA,entry,0.1361887930138268,32.95000076293945,32.95000076293945,0.0,55.64316327721285,0.29465753310338383,
56,2022-02-22,NYSE:FSLR,exit,0.1361887930138268,89.12000274658203,65.8499984741211,276.0,0.0,,DD
56,2022-02-22,NASDAQ:TSLA,entry,0.1361887930138268,273.84332275390625,273.84332275390625,0.0,77.99597803819735,0.26598735674875895,
64,2022-03-04,NASDAQ:BIIB,exit,0.1361887930138268,234.65,209.45,187.0,0.0,,horizon
64,2022-03-04,NYSE:OXY,entry,0.1361887930138268,56.150001525878906,56.150001525878906,0.0,326.8358950211661,0.2243672492574152,
64,2022-03-04,NYSE:CCL,entry,0.1361887930138268,17.229999542236328,17.229999542236328,0.0,12.098724906648192,0.21498786089044203,
89,2022-04-08,NYSE:APA,exit,0.1361887930138268,32.95000076293945,43.02000045776367,55.0,0.0,,horizon
89,2022-04-08,NYSE:CF,entry,0.1361887930138268,108.20999908447266,108.20999908447266,0.0,226.28365364102416,0.2785337089762825,
106,2022-05-04,NASDAQ:TSLA,exit,0.05133553803103536,273.84332275390625,317.5400085449219,77.0,0.0,,horizon
106,2022-05-04,NASDAQ:AMD,entry,0.1361887930138268,99.42,99.42,0.0,165.39179604824437,0.2821111808758603,
114,2022-05-16,NYSE:OXY,exit,0.1361887930138268,56.150001525878906,67.72000122070312,326.0,0.0,,horizon
114,2022-05-16,NYSE:CCL,exit,0.1361887930138268,17.229999542236328,14.09000015258789,12.0,0.0,,horizon
114,2022-05-16,NASDAQ:NVDA,entry,0.1361887930138268,17.263999938964844,17.263999938964844,0.0,1259.4258506995652,0.2506431265953833,
114,2022-05-16,NYSE:VLO,entry,0.1361887930138268,127.77999877929688,127.77999877929688,0.0,19.799668182681224,0.18871198355247393,
139,2022-06-22,NYSE:CF,exit,0.1361887930138268,108.20999908447266,88.58000183105469,226.0,0.0,,horizon
139,2022-06-22,NYSE:GNRC,entry,0.1361887930138268,212.57000732421875,212.57000732421875,0.0,102.20300499445553,0.2785337089762825,
146,2022-07-01,NASDAQ:AMD,exit,0.1361887930138268,99.42,73.67,165.0,0.0,,DD
146,2022-07-01,NYSE:XYZ,entry,0.1361887930138268,63.900001525878906,63.900001525878906,0.0,313.2814108580967,0.2821111808758603,
164,2022-07-28,NASDAQ:NVDA,exit,0.1361887930138268,17.263999938964844,17.983999252319336,1259.0,0.0,,horizon
164,2022-07-28,NYSE:VLO,exit,0.1361887930138268,127.77999877929688,109.51000213623047,19.0,0.0,,horizon
164,2022-07-28,NASDAQ:BKR,entry,0.1361887930138268,24.98,24.98,0.0,507.9682540054871,0.31268598635415606,
165,2022-07-29,NYSE:PSKY,entry,0.1361887930138268,23.649999618530273,23.649999618530273,0.0,475.5130156204227,0.1266691237937012,
189,2022-09-01,NYSE:GNRC,exit,0.05133553803103536,212.57000732421875,233.00999450683594,102.0,0.0,,horizon
189,2022-09-01,NASDAQ:NVDA,entry,0.1361887930138268,13.937000274658203,13.937000274658203,0.0,940.7003925590274,0.2785337089762825,
196,2022-09-13,NYSE:XYZ,exit,0.1361887930138268,63.900001525878906,69.58000183105469,313.0,0.0,,horizon
196,2022-09-13,NASDAQ:AMD,entry,0.1361887930138268,77.03,77.03,0.0,298.3514301818118,0.2821111808758603,
214,2022-10-07,NASDAQ:BKR,exit,0.1361887930138268,24.98,22.88,507.0,0.0,,horizon
214,2022-10-07,NYSE:GNRC,entry,0.1361887930138268,154.25999450683594,154.25999450683594,0.0,140.40226754305291,0.312685986354156,
215,2022-10-10,NYSE:PSKY,exit,0.1361887930138268,23.649999618530273,18.559999465942383,475.0,0.0,,horizon
215,2022-10-10,NYSE:OXY,entry,0.1361887930138268,65.62999725341797,65.62999725341797,0.0,136.2683098563068,0.1266691237937012,
216,2022-10-11,NASDAQ:AMD,exit,0.1361887930138268,77.03,57.63,298.0,0.0,,DD
216,2022-10-11,NYSE:XYZ,entry,0.1361887930138268,53.45000076293945,53.45000076293945,0.0,220.47710731651776,0.269514092883713,
222,2022-10-19,NYSE:GNRC,exit,0.1361887930138268,154.25999450683594,110.30000305175781,140.0,0.0,,DD
222,2022-10-19,NASDAQ:LRCX,entry,0.1361887930138268,33.007999420166016,33.007999420166016,0.0,515.2749581966355,0.3252830743463033,
239,2022-11-11,NASDAQ:NVDA,exit,,13.937000274658203,16.32699966430664,940.0,0.0,,horizon
239,2022-11-11,NASDAQ:LRCX,exit,,33.007999420166016,50.082000732421875,515.0,0.0,,target
265,2022-12-20,NYSE:OXY,exit,,65.62999725341797,62.369998931884766,136.0,0.0,,horizon
266,2022-12-21,NYSE:XYZ,exit,,53.45000076293945,62.58000183105469,220.0,0.0,,horizon
