date,strat_equity,idx_equity
2021-12-21,100000.0,100000.0
2021-12-22,99642.289925,101018.01972205788
2021-12-23,100549.999925,101646.7255634885
2021-12-27,102386.86115000001,103053.4080166795
2021-12-28,102484.79355000002,102949.30811690402
2021-12-29,104490.44355,103093.63225156047
2021-12-30,101544.88272500002,102785.40748777808
2021-12-31,100649.86272500001,102515.47451521657
2022-01-03,103349.89272500001,103168.91353501394
2022-01-04,101924.472725,103103.95612176621
2022-01-05,99291.91272500002,101104.48607343517
2022-01-06,98069.652725,101007.04470235799
2022-01-07,96991.42272500001,100597.9442790373
2022-01-10,96674.712725,100452.97949729789
2022-01-11,99142.18272500002,101373.12724941956
2022-01-12,97396.30272500002,101658.77182913039
2022-01-13,97482.37272500001,100210.78339270521
2022-01-14,98661.70272500001,100292.9542579033
2022-01-18,97644.042725,98448.77286151741
2022-01-19,97137.52272500002,97494.84935498917
2022-01-20,95526.55272500002,96418.76180142818
2022-01-21,94138.42282500002,94595.01809722985
2022-01-24,93325.10192500001,94857.21079273985
2022-01-25,90858.061925,93702.61771548822
2022-01-26,90166.191925,93562.37901878703
2022-01-27,88520.751925,93058.63086576732
2022-01-28,89395.6300625,95324.38954997483
2022-01-31,89943.23491250002,97124.68136997233
2022-02-01,89797.7949125,97791.24840376478
2022-02-02,90956.8715625,98712.68795246357
2022-02-03,90138.85876250001,96304.97867852991
2022-02-04,90356.1036375,96801.61669916988
2022-02-07,90066.52363750001,96443.28493157102
2022-02-08,89893.1236375,97253.52495052577
2022-02-09,91050.1736375,98665.37459002525
2022-02-10,89768.84363749999,96877.97973097654
2022-02-11,88505.45363749999,95040.25731747624
2022-02-14,88259.71363750001,94675.24601635667
2022-02-15,89317.38363750001,96167.96422206593
2022-02-16,88737.8536375,96252.70817800704
2022-02-17,87367.4836375,94214.73629023119
2022-02-18,86874.1636375,93539.57828408034
2022-02-22,86234.8136375,92590.81146144938
2022-02-23,85940.5536375,90886.0180664578
2022-02-24,85603.05363750001,92245.38715721048
2022-02-25,86538.80363750001,94309.1634692951
2022-02-28,87242.07363750001,94078.8035821204
2022-03-01,86504.5336375,92623.07486864371
2022-03-02,86588.5036375,94349.8183030351
2022-03-03,86603.70363749999,93854.04148011321
2022-03-04,85834.7736375,93109.39952148915
2022-03-07,83920.51316249999,90360.98152594363
2022-03-08,84760.1744125,89707.33245792236
2022-03-09,86234.22441249999,92012.65372510548
2022-03-10,84550.93441249998,91617.75256172188
2022-03-11,83875.24441249999,90430.24492778175
2022-03-14,82725.91441249999,89759.16185717499
2022-03-15,84984.96441249999,91680.77753130952
2022-03-16,87486.63441249999,93732.93817661128
2022-03-17,86952.54441249999,94890.33539765226
2022-03-18,87936.81441249998,95996.97446538263
2022-03-21,88196.81441249998,95955.24838570063
2022-03-22,88562.44441249999,97039.9374140312
2022-03-23,87997.94441249999,95848.99549162995
2022-03-24,90267.7344125,97223.84513648566
2022-03-25,89727.30441249999,97716.39771917036
2022-03-28,89978.52441249999,98414.577010663
2022-03-29,91265.9844125,99620.79994135453
2022-03-30,89574.21441249999,98993.8164953601
2022-03-31,87136.68441249999,97444.31175231366
2022-04-01,86674.1744125,97776.61854496865
2022-04-04,87424.43441249998,98567.72317072414
2022-04-05,85681.7044125,97330.52862941538
2022-04-06,85152.43441249999,96384.77599879769
2022-04-07,85574.46441249998,96794.73761983645
2022-04-08,85273.63441249999,96538.13220708276
2022-04-11,83566.52991249999,94908.83014376856
