date,ticker,p_raw,p_calibrated
2026-03-13,NASDAQ:AAPL,0.005718837,0.005718837
2026-03-13,NASDAQ:ADBE,0.00845821,0.00845821
2026-03-13,NASDAQ:ADI,0.005975043,0.005975043
2026-03-13,NASDAQ:ADP,0.0058411653,0.0058411653
2026-03-13,NASDAQ:ADSK,0.0053243004,0.0053243004
2026-03-13,NASDAQ:AEP,0.004627732,0.004627732
2026-03-13,NASDAQ:AMAT,0.07429651,0.07429651
2026-03-13,NASDAQ:AMD,0.10065224,0.10065224
2026-03-13,NASDAQ:AMGN,0.004627732,0.004627732
2026-03-13,NASDAQ:AMZN,0.005718837,0.005718837
2026-03-13,NASDAQ:ASML,0.011384811,0.011384811
2026-03-13,NASDAQ:AVGO,0.04927342,0.04927342
2026-03-13,NASDAQ:AZN,0.020141916,0.020141916
2026-03-13,NASDAQ:BIIB,0.005924772,0.005924772
2026-03-13,NASDAQ:BKNG,0.0076883677,0.0076883677
2026-03-13,NASDAQ:BKR,0.0060736984,0.0060736984
2026-03-13,NASDAQ:CCEP,0.004627732,0.004627732
2026-03-13,NASDAQ:CDNS,0.013601419,0.013601419
2026-03-13,NASDAQ:CDW,0.00845821,0.00845821
2026-03-13,NASDAQ:CHTR,0.044165745,0.044165745
2026-03-13,NASDAQ:CMCSA,0.0073814546,0.0073814546
2026-03-13,NASDAQ:COST,0.004627732,0.004627732
2026-03-13,NASDAQ:CPRT,0.008736535,0.008736535
2026-03-13,NASDAQ:CRWD,0.03039717,0.03039717
2026-03-13,NASDAQ:CSCO,0.0050958544,0.0050958544
2026-03-13,NASDAQ:CSGP,0.03588811,0.03588811
2026-03-13,NASDAQ:CSX,0.004627732,0.004627732
2026-03-13,NASDAQ:CTAS,0.0055361125,0.0055361125
2026-03-13,NASDAQ:CTSH,0.010875786,0.010875786
2026-03-13,NASDAQ:DDOG,0.05826469,0.05826469
2026-03-13,NASDAQ:DXCM,0.02806833,0.02806833
2026-03-13,NASDAQ:EA,0.0055361125,0.0055361125
2026-03-13,NASDAQ:EXC,0.004627732,0.004627732
2026-03-13,NASDAQ:FANG,0.005975043,0.005975043
2026-03-13,NASDAQ:FAST,0.004627732,0.004627732
2026-03-13,NASDAQ:FTNT,0.01356349,0.01356349
2026-03-13,NASDAQ:GILD,0.004627732,0.004627732
2026-03-13,NASDAQ:GOOG,0.005718837,0.005718837
2026-03-13,NASDAQ:GOOGL,0.0058797025,0.0058797025
2026-03-13,NASDAQ:HON,0.004627732,0.004627732
2026-03-13,NASDAQ:IDXX,0.007599969,0.007599969
2026-03-13,NASDAQ:INTC,0.19855262,0.19855262
2026-03-13,NASDAQ:INTU,0.009099275,0.009099275
