min_vote,mode,variant,window,n_days,total,cagr,spx,sharpe,maxdd,entries,target,stop,win,names
1,clean (OOS-masked breadth-ramp),A (25/30/15),2025-06-02→2026-06-01,251,0.8955869700475805,0.9004229368802694,0.2803296589852351,1.9775826721510221,-0.15044713542562205,29,14,12,0.5384615384615384,12
1,clean (OOS-masked breadth-ramp),C (33/30/15),2025-06-02→2026-06-01,251,1.0468656946696728,1.0527154311389242,0.2803296589852351,1.8466133025978864,-0.19467713543866472,28,14,11,0.56,12
1,leaky (all-5 sensitivity),A (25/30/15),2025-06-02→2026-06-01,251,2.251388281287714,2.2666977318996024,0.2803296589852351,3.362626243015023,-0.15400002692077663,39,24,12,0.6666666666666666,12
1,leaky (all-5 sensitivity),C (33/30/15),2025-06-02→2026-06-01,251,2.7590579791010184,2.7789415598820604,0.2803296589852351,3.115835658219964,-0.19575173794466094,34,20,11,0.6451612903225806,12
3,clean (OOS-masked breadth-ramp),A (25/30/15),2025-06-02→2026-06-01,251,0.4060435628491188,0.4079538282964501,0.2803296589852351,2.1239186651167983,-0.056822996492190914,7,4,0,1.0,5
3,clean (OOS-masked breadth-ramp),C (33/30/15),2025-06-02→2026-06-01,251,0.5372610185354598,0.5398968443390306,0.2803296589852351,2.426561494377204,-0.0712538440825724,7,4,0,1.0,5
3,leaky (all-5 sensitivity),A (25/30/15),2025-06-02→2026-06-01,251,2.0301568146208777,2.0435699816981914,0.2803296589852351,3.406201722119346,-0.1541242165096114,32,19,10,0.6551724137931034,10
3,leaky (all-5 sensitivity),C (33/30/15),2025-06-02→2026-06-01,251,2.2859424619022035,2.3015536635216343,0.2803296589852351,2.9423936711325576,-0.2399714809513226,31,18,10,0.6428571428571429,10
