selector,max_alloc,target,stop,window,n_days,total_return,cagr,spx_return,sharpe,max_dd,calmar,n_entries,n_target,n_stop,win_rate,open_at_end,n_names
consensus,0.25,0.3,0.15,2026-01-02→2026-06-26,121,0.25009184172024157,0.5918259152895993,0.0709064201022529,1.287765094567552,-0.11071423887566256,5.345526657634782,14,6,5,0.5454545454545454,3,7
consensus,0.33,0.3,0.15,2026-01-02→2026-06-26,121,0.39482785508890017,0.999793146846911,0.0709064201022529,1.6039433556161395,-0.13326888933724657,7.502074578837842,14,6,5,0.5454545454545454,3,7
