mode,variant,window,n_days,total,cagr,spx,sharpe,maxdd,entries,target,stop,win,names
clean (OOS-masked breadth-ramp),A (25/30/15),2025-06-05→2026-06-26,266,1.1598751687318059,1.0740878317821365,0.2366406860551975,2.113515681697571,-0.15044713542562194,28,15,10,0.6,12
clean (OOS-masked breadth-ramp),C (33/30/15),2025-06-05→2026-06-26,266,1.4205512835010654,1.3105122379744496,0.2366406860551975,2.123767628476871,-0.19467713543866494,27,15,9,0.625,12
all5 (LEAKY sensitivity),A (25/30/15),2025-06-05→2026-06-26,266,2.573977141591778,2.3422468253341693,0.2366406860551975,3.2845864972223335,-0.1526925812664014,40,25,12,0.6756756756756757,12
all5 (LEAKY sensitivity),C (33/30/15),2025-06-05→2026-06-26,266,3.2932121654589297,2.9762896893417303,0.2366406860551975,3.147570390974942,-0.19570955674859813,35,21,11,0.65625,12
