version,name,alloc,tgt,stop,total,cagr,sharpe,maxdd,win,entries,ntgt,nstop,spx,ndays
clean,V1,20,20,10,0.9405982635446335,0.9457309735862853,2.6256762794210373,-0.0913163842535697,0.5555555555555556,48,25,20,0.2803296589852351,251
clean,V2,20,30,15,0.6716266251730081,0.6750519506954893,1.8934574439115939,-0.12186592907726668,0.5769230769230769,29,15,11,0.2803296589852351,251
clean,V3,20,40,20,0.8494100716328172,0.8539460661715546,2.162311953633391,-0.14697403026028388,0.6190476190476191,24,13,8,0.2803296589852351,251
clean,V4,20,50,25,1.0159993347441696,1.0216384715401254,2.0143848749022,-0.20203244021211253,0.625,20,10,6,0.2803296589852351,251
clean,V5,25,20,10,1.216580501646105,1.2236208302755807,2.647668731283735,-0.1124883961604316,0.5555555555555556,48,25,20,0.2803296589852351,251
clean,V6,25,30,15,0.8955869700475805,0.9004229368802694,1.9775826721510221,-0.15044713542562205,0.5384615384615384,29,14,12,0.2803296589852351,251
clean,V7,25,40,20,1.0742457947959019,1.08028390800167,2.245237709933458,-0.1407895116112612,0.65,23,13,7,0.2803296589852351,251
clean,V8,25,50,25,1.1904195707298375,1.1972728707610574,2.0331062305467476,-0.17892460957099887,0.7142857142857143,17,10,4,0.2803296589852351,251
clean,V9,33,20,10,1.4743895037439674,1.483337041875647,2.417654021623135,-0.1451882977895611,0.5555555555555556,48,25,20,0.2803296589852351,251
clean,V10,33,30,15,1.0468656946696728,1.0527154311389242,1.8466133025978864,-0.19467713543866472,0.56,28,14,11,0.2803296589852351,251
clean,V11,33,40,20,0.9990172154993715,1.0045412906582984,1.7661101101912802,-0.2137388470295949,0.65,23,13,7,0.2803296589852351,251
clean,V12,33,50,25,1.4937576717354903,1.5028529928592231,2.0569805571117725,-0.2620256278268467,0.6923076923076923,16,9,4,0.2803296589852351,251
clean,V13,50,20,10,1.7825610979272928,1.7939292550027561,2.1138982504510038,-0.2100679441426887,0.5476190476190477,45,23,19,0.2803296589852351,251
clean,V14,50,30,15,1.5040129364820114,1.5131867521535844,1.81454733671858,-0.2825414565680028,0.5217391304347826,25,12,11,0.2803296589852351,251
clean,V15,50,40,20,2.6192694261347955,2.637864304350968,2.4235664005229856,-0.27486496177297737,0.6111111111111112,19,11,7,0.2803296589852351,251
clean,V16,50,50,25,2.3053302887447575,2.321111438823217,2.124465305005997,-0.34391830298463877,0.6666666666666666,13,8,4,0.2803296589852351,251
clean,V17,100,20,10,1.6746766469415557,1.6851809774199653,1.5067753994216484,-0.4701640714808235,0.4838709677419355,32,15,16,0.2803296589852351,251
clean,V18,100,30,15,1.5706224262172492,1.5803101498393697,1.457483422162781,-0.4701640714808234,0.5,17,8,8,0.2803296589852351,251
clean,V19,100,40,20,2.002229609083143,2.0154079171002897,1.631400547017317,-0.4701640714808235,0.5454545454545454,12,6,5,0.2803296589852351,251
clean,V20,100,50,25,3.0662317538707917,3.0890195577139874,1.9311791730273813,-0.4768613318044067,0.7142857142857143,8,5,2,0.2803296589852351,251
leaky,V1,20,20,10,1.035184111894845,1.0409539243648163,2.4587958541222563,-0.1436894164031307,0.5909090909090909,46,26,18,0.2803296589852351,251
leaky,V2,20,30,15,1.7523787389442766,1.763503506054021,3.1334223226694338,-0.15821577450846946,0.6486486486486487,40,24,13,0.2803296589852351,251
leaky,V3,20,40,20,2.196598025645566,2.211432041483434,3.317779551468528,-0.15615441967331622,0.75,27,18,6,0.2803296589852351,251
leaky,V4,20,50,25,1.5166958204767602,1.5259669450096753,2.7121581231581953,-0.1693098893571312,0.8,23,16,4,0.2803296589852351,251
leaky,V5,25,20,10,1.4614244172169353,1.4702733689118483,2.6641651343498864,-0.16824681252975893,0.6046511627906976,45,26,17,0.2803296589852351,251
leaky,V6,25,30,15,2.251388281287714,2.2666977318996024,3.362626243015023,-0.15400002692077663,0.6666666666666666,39,24,12,0.2803296589852351,251
leaky,V7,25,40,20,2.2913508981789974,2.3070094625709126,3.14300542194924,-0.15520239115994228,0.8095238095238095,24,17,4,0.2803296589852351,251
leaky,V8,25,50,25,1.2477758168503588,1.255040784027818,2.1473945082566464,-0.22986234775755843,0.7857142857142857,18,11,3,0.2803296589852351,251
leaky,V9,33,20,10,1.506983716101285,1.516180301865675,2.4025725329469205,-0.20080128519842377,0.6,42,24,16,0.2803296589852351,251
leaky,V10,33,30,15,2.7590579791010184,2.7789415598820604,3.115835658219964,-0.19575173794466094,0.6451612903225806,34,20,11,0.2803296589852351,251
leaky,V11,33,40,20,1.929193015090823,1.9417620670611035,2.613674635158835,-0.18747810831672296,0.7894736842105263,22,15,4,0.2803296589852351,251
leaky,V12,33,50,25,1.3463470470636651,1.3543331360993278,2.1988815055467854,-0.2523384563753913,0.7857142857142857,17,11,3,0.2803296589852351,251
leaky,V13,50,20,10,2.2205419284397365,2.2355832536603493,2.6142649053864884,-0.27507481039074466,0.6176470588235294,36,21,13,0.2803296589852351,251
