,gross_exposure
2026-03-02,0.0
2026-03-03,0.0
2026-03-04,0.0
2026-03-05,0.0
2026-03-06,0.0
2026-03-09,0.0
2026-03-10,0.0
2026-03-11,0.0
2026-03-12,0.0
2026-03-13,0.0
2026-03-16,0.9859575143185804
2026-03-17,0.9808397449370743
2026-03-18,0.9778475489183639
2026-03-19,0.42238119797837365
2026-03-20,0.4209669812147617
2026-03-23,0.4478623803167602
2026-03-24,0.4500524099053393
2026-03-25,0.45178182351569035
2026-03-26,0.44699953515574753
2026-03-27,0.45339960021311676
2026-03-30,0.4601945319386155
2026-03-31,0.46426848640146146
2026-04-01,0.4684840518906231
2026-04-02,0.4717525483800838
2026-04-06,0.4498002461119211
2026-04-07,0.4448394200521649
2026-04-08,0.4498369339408447
2026-04-09,0.6294720440174963
2026-04-10,0.9500552217454078
2026-04-13,0.4770906018894164
2026-04-14,0.4713335789871824
2026-04-15,0.5111267460424467
2026-04-16,0.9428655344979731
2026-04-17,0.6125305083432206
2026-04-20,0.6118503465227049
2026-04-21,0.610995116825693
2026-04-22,0.9410846520711411
2026-04-23,0.942126935986879
2026-04-24,0.25756843472297747
2026-04-27,0.15156260993039636
2026-04-28,0.48181932617843565
2026-04-29,0.48299677199934177
2026-04-30,0.48463966583521284
2026-05-01,0.48928056366127015
2026-05-04,0.49120633470702585
2026-05-05,0.49308893692382755
2026-05-06,0.48408422723009836
2026-05-07,0.9405544512574191
2026-05-08,0.896411529260364
2026-05-11,0.6643840020230751
2026-05-12,0.3328282035838036
2026-05-13,0.3394257871128631
2026-05-14,0.3462808156504356
2026-05-15,0.3517500000494878
2026-05-18,0.36111243499146267
2026-05-19,0.6119293991278008
2026-05-20,0.6097978385504039
2026-05-21,0.6176479153147613
2026-05-22,0.6220129996711062
2026-05-26,0.6179074775535046
2026-05-27,0.6205625257661735
2026-05-28,0.6185250002644773
2026-05-29,0.6220325211092843
2026-06-01,0.623800900182485
2026-06-02,0.6362740959778697
2026-06-03,0.6335416590686157
2026-06-04,0.6398545834673213
2026-06-05,0.6243995352963055
2026-06-08,0.9114953305612848
2026-06-09,0.9037871214237958
2026-06-10,0.9031035133678051
2026-06-11,0.9035890285349214
2026-06-12,0.9033421685988764
