thr,hor,base_rate_base,AUC_base,R_precision_at_1_base,R_precision_at_3_base,R_precision_at_5_base,R_precision_at_10_base,R_precision_at_20_base,base_rate_fund,AUC_fund,R_precision_at_1_fund,R_precision_at_3_fund,R_precision_at_5_fund,R_precision_at_10_fund,R_precision_at_20_fund,d_base_rate,d_AUC,d_R_precision_at_1,d_R_precision_at_3,d_R_precision_at_5,d_R_precision_at_10,d_R_precision_at_20
10,10,0.11690430766141179,0.6575030971549112,0.22983870967741934,0.19489247311827956,0.19475806451612904,0.19071300563236046,0.20900407898248205,0.11690430766141179,0.644092897655135,0.2782258064516129,0.22043010752688172,0.2120967741935484,0.2141737071172555,0.22833264632753422,0.0,-0.013410199499776176,0.04838709677419353,0.025537634408602156,0.01733870967741935,0.02346070148489504,0.019328567345052172
20,10,0.018601265187267797,0.7730172782347731,0.11255411255411256,0.09235209235209235,0.10324675324675325,0.1395141895141895,0.2215373557363224,0.018601265187267797,0.7634535386399381,0.10822510822510822,0.0873015873015873,0.10086580086580087,0.14157218442932729,0.21021823450756746,0.0,-0.009563739594834919,-0.004329004329004335,-0.005050505050505055,-0.0023809523809523864,0.0020579949151377785,-0.011319121228754947
30,10,0.00414198212671955,0.8046364873816614,0.04430379746835443,0.07172995780590717,0.08966244725738397,0.13603074141048827,0.258077154912598,0.00414198212671955,0.8095243987863087,0.012658227848101266,0.015822784810126583,0.0530590717299578,0.11487341772151898,0.2548071127185051,0.0,0.004887911404647283,-0.03164556962025317,-0.05590717299578059,-0.036603375527426166,-0.02115732368896929,-0.0032700421940928814
50,10,0.0003012350637614218,0.712136264145965,0.125,0.125,0.125,0.20833333333333334,0.25,0.0003012350637614218,0.6675531191410685,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.0,-0.04458314500489646,0.08333333333333334,0.08333333333333334,0.08333333333333334,0.0,-0.04166666666666666
10,25,0.2476026709508987,0.5750324517874923,0.2248995983935743,0.24364123159303883,0.25220883534136546,0.25662650602409637,0.26677922560555256,0.2476026709508987,0.6027015246563401,0.3493975903614458,0.3293172690763052,0.3060240963855422,0.3136546184738956,0.3025583533360772,0.0,0.02766907286884779,0.12449799196787151,0.08567603748326638,0.05381526104417672,0.05702811244979922,0.03577912773052466
20,25,0.07651370619540114,0.6706815028533536,0.12449799196787148,0.13520749665327977,0.15408299866131192,0.16764996493912154,0.20051459919274833,0.07651370619540114,0.6535520380376431,0.10843373493975904,0.15930388219544844,0.16131191432396252,0.17179352329954742,0.2139707280947163,0.0,-0.017129464815710538,-0.01606425702811244,0.02409638554216867,0.0072289156626506035,0.004143558360425875,0.013456128901967956
30,25,0.02551712019279044,0.7389317360170842,0.04918032786885246,0.05327868852459016,0.06837431693989071,0.12293293000260214,0.22094952692688444,0.02551712019279044,0.7496882176705687,0.09016393442622951,0.11407103825136612,0.15792349726775956,0.2022736143637783,0.2689332820285277,0.0,0.010756481653484529,0.04098360655737705,0.06079234972677596,0.08954918032786885,0.07934068436117617,0.04798375510164324
50,25,0.003715232453057536,0.8040485848741736,0.06626506024096386,0.08835341365461848,0.10582329317269076,0.16711847389558232,0.2262335054503729,0.003715232453057536,0.7886471402616015,0.024096385542168676,0.10943775100401607,0.12138554216867468,0.16987951807228915,0.2775841461082425,0.0,-0.01540144461257209,-0.042168674698795185,0.02108433734939759,0.015562248995983921,0.002761044176706834,0.051350640657869595
10,50,0.31708755899186664,0.5138904171335459,0.2570281124497992,0.26773761713520744,0.28674698795180725,0.2706827309236948,0.3003100119777355,0.31708755899186664,0.5157777388947301,0.2289156626506024,0.29986613119143235,0.30522088353413657,0.3072289156626506,0.3103501726203058,0.0,0.0018873217611842241,-0.028112449799196776,0.03212851405622491,0.018473895582329314,0.03654618473895577,0.010040160642570295
20,50,0.16088462697057937,0.5688336337772885,0.17670682730923695,0.18875502008032127,0.20803212851405625,0.20966883406642442,0.21388914918233431,0.16088462697057937,0.5987309308838439,0.2289156626506024,0.23159303882195448,0.2385542168674699,0.24056224899598394,0.23652410142441477,0.0,0.02989729710655542,0.052208835341365445,0.042838018741633205,0.030522088353413634,0.03089341492955952,0.022634952242080453
30,50,0.07233406968571142,0.6686867796286222,0.25,0.20833333333333331,0.20900537634408603,0.21191116231438814,0.2437181579655738,0.07233406968571142,0.654408039101387,0.13306451612903225,0.12365591397849461,0.14065860215053763,0.14912794418842806,0.18088742458577298,0.0,-0.014278740527235212,-0.11693548387096775,-0.0846774193548387,-0.0683467741935484,-0.06278321812596008,-0.06283073337980083
50,50,0.01774776583994377,0.7731016776446832,0.07296137339055794,0.08941344778254649,0.11123032904148784,0.12722767218475373,0.1635915684640754,0.01774776583994377,0.7490830207544424,0.012875536480686695,0.08011444921316166,0.10758226037195995,0.16795251720144425,0.2780285172484112,0.0,-0.02401865689024074,-0.06008583690987125,-0.009298998569384834,-0.0036480686695278958,0.04072484501669052,0.1144369487843358
10,100,0.3448764936238578,0.49966305166714703,0.24899598393574296,0.27309236947791166,0.28273092369477915,0.27871485943775104,0.3122991967871486,0.3448764936238578,0.5049261352108079,0.3333333333333333,0.3132530120481928,0.327710843373494,0.31204819277108437,0.320933734939759,0.0,0.00526308354366084,0.08433734939759036,0.040160642570281124,0.04497991967871484,0.033333333333333326,0.008634538152610394
20,100,0.2454061652776383,0.5004006814351715,0.11646586345381527,0.16331994645247655,0.17188755020080324,0.15180722891566267,0.18434791798774045,0.2454061652776383,0.49948416383279776,0.23694779116465864,0.19678714859437751,0.1919678714859438,0.1927710843373494,0.21225956457408582,0.0,-0.000916517602373712,0.12048192771084337,0.033467202141900965,0.020080321285140562,0.040963855421686735,0.027911646586345373
30,100,0.14967617230645647,0.5422339064640856,0.23694779116465864,0.21954484605087013,0.20160642570281126,0.16672722636578058,0.15521880953638945,0.14967617230645647,0.5669055917412689,0.23293172690763053,0.2556894243641232,0.2385542168674699,0.21369924141008478,0.20085672701352136,0.0,0.02467168527718322,-0.004016064257028107,0.036144578313253045,0.03694779116465863,0.046972015044304205,0.04563791747713192
50,100,0.05001757204538608,0.6554359855445224,0.20491803278688525,0.19808743169398904,0.18558743169398906,0.18561833203226646,0.22488694824887284,0.05001757204538608,0.6583393331638557,0.18442622950819673,0.1092896174863388,0.09672131147540984,0.1170504813947437,0.15102143252964192,0.0,0.0029033476193333074,-0.02049180327868852,-0.08879781420765025,-0.08886612021857922,-0.06856785063752277,-0.07386551571923092
10,200,0.35086354051611607,0.5101728826609448,0.3614457831325301,0.357429718875502,0.33975903614457836,0.3112449799196787,0.3157128514056225,0.35086354051611607,0.5009670124173019,0.1606425702811245,0.27844712182061576,0.28755020080321286,0.2815261044176707,0.3129016064257028,0.0,-0.009205870243642944,-0.20080321285140562,-0.07898259705488625,-0.0522088353413655,-0.029718875502008024,-0.0028112449799196915
20,200,0.310385078823175,0.4993263046998719,0.4578313253012048,0.26104417670682734,0.22971887550200804,0.18634538152610441,0.2495983935742972,0.310385078823175,0.4965092704051167,0.39357429718875503,0.2931726907630522,0.26104417670682734,0.221285140562249,0.2624497991967871,0.0,-0.0028170342947551608,-0.06425702811244977,0.032128514056224855,0.0313253012048193,0.034939759036144574,0.012851405622489931
30,200,0.24225574856913346,0.4983289006550812,0.41365461847389556,0.22757697456492637,0.17349397590361446,0.14497991967871487,0.1740963855421687,0.24225574856913346,0.4922865477555659,0.3172690763052209,0.23293172690763053,0.20642570281124498,0.19357429718875502,0.21006129782287042,0.0,-0.006042352899515269,-0.09638554216867468,0.005354752342704161,0.03293172690763052,0.04859437751004014,0.03596491228070173
50,200,0.12060698865347927,0.5395384145049026,0.05220883534136546,0.07496653279785809,0.07389558232931728,0.08755020080321285,0.10627368928266015,0.12060698865347927,0.5749801020180162,0.39357429718875503,0.3145917001338688,0.27469879518072293,0.21325301204819277,0.18570392511046768,0.0,0.03544168751311361,0.3413654618473896,0.2396251673360107,0.20080321285140565,0.12570281124497992,0.07943023582780753
