date,ticker,p_raw,p_calibrated,y_true,sample_weight,K,rank,fwd_close_return,fwd_high_return,fwd_low_return,fwd_max_dd
2025-12-29,NASDAQ:ADI,0.38523325,0.38523325,1,1.0,1,1,0.11479156840692228,0.31770852229438007,-0.01875702935094159,-0.1622797356828194
2025-12-30,NASDAQ:ADI,0.38523325,0.38523325,1,1.0,1,1,0.1137107925187395,0.32159231496979834,-0.015864929772214542,-0.16433370044052853
2025-12-31,NASDAQ:ADI,0.38523325,0.38523325,1,1.0,1,1,0.14646017699115066,0.3392330383480826,-0.002728613569321525,-0.16433370044052853
2026-01-02,NASDAQ:ADI,0.38523325,0.38523325,1,1.0,1,1,0.1458318112077155,0.32680645868342206,9.132753707885577e-05,-0.16433370044052853
2026-01-05,NASDAQ:ADI,0.38523325,0.38523325,1,1.0,1,1,0.11287821414403676,0.30982004399725915,0.008294565256590447,-0.16433370044052853
2026-01-06,NASDAQ:ADI,0.38523325,0.38523325,1,1.0,1,1,0.05973919573974196,0.23984433672424377,-0.021130606950228725,-0.17150330396475766
2026-01-07,NASDAQ:ADI,0.38523325,0.38523325,1,1.0,1,1,0.056471712929768936,0.24005599371777797,-0.011540168664003536,-0.17150330396475766
2026-01-08,NASDAQ:ADI,0.38523325,0.38523325,1,1.0,1,1,0.04355528814012555,0.21406605161117787,-0.022429469180371808,-0.17150330396475766
2026-01-09,NASDAQ:ADI,0.38523325,0.38523325,1,1.0,1,1,0.06945136742764091,0.20692519855115798,-0.028179310803176927,-0.17150330396475766
2026-01-12,NASDAQ:ADI,0.38523325,0.38523325,1,1.0,1,1,0.0958619750901788,0.2359627033281153,-0.001973728986592427,-0.17150330396475766
2026-01-13,NASDAQ:ADI,0.38523325,0.38523325,1,1.0,1,1,0.058100671820667804,0.2261571182606934,-0.009891630937510554,-0.17150330396475766
2026-01-14,NASDAQ:ADI,0.38523325,0.38523325,1,1.0,1,1,0.031712473572938604,0.2188328467398235,-0.01399375817980475,-0.17150330396475766
2026-01-15,NASDAQ:ADI,0.38523325,0.38523325,1,1.0,1,1,0.0033101621979476636,0.2022509102946044,-0.027408142999007068,-0.17246696035242293
2026-01-16,NASDAQ:ADI,0.38523325,0.38523325,1,1.0,1,1,0.05958368026644467,0.2096586178184845,-0.021415487094088248,-0.17246696035242293
2026-01-20,NASDAQ:ADI,0.38523325,0.38523325,1,1.0,1,1,0.08424933202556883,0.22839652315080983,0.009233266817735952,-0.17246696035242293
2026-01-21,NASDAQ:ADI,0.38523325,0.38523325,1,1.0,1,1,0.043840377742072834,0.19093681345706126,-0.014460438731678571,-0.17246696035242293
2026-01-22,NASDAQ:ADI,0.38523325,0.38523325,1,1.0,1,1,0.06106573317775199,0.17723324257746675,-0.02580059639569554,-0.17246696035242293
2026-01-23,NASDAQ:ADI,0.38523325,0.38523325,1,1.0,1,1,0.07136780104712037,0.18848167539267013,-0.016492146596858714,-0.17246696035242293
2026-01-26,NASDAQ:ADI,0.38523325,0.38523325,1,1.0,1,1,0.1388112233150225,0.19469754284398544,-0.011348310910825221,-0.17246696035242293
2026-01-27,NASDAQ:ADI,0.38523325,0.38523325,1,1.0,1,1,0.15643616496066892,0.19540532534641075,-0.010762597505183713,-0.17246696035242293
2026-01-28,NASDAQ:ADI,0.38523325,0.38523325,1,1.0,1,1,0.10236914600550961,0.14348681621408899,-0.0537268791814246,-0.17246696035242293
2026-01-29,NASDAQ:ADI,0.38523325,0.38523325,1,1.0,1,1,0.098242861625353,0.1396297458424851,-0.05691873235017253,-0.17246696035242293
2026-01-30,NASDAQ:ADI,0.38523325,0.38523325,1,1.0,1,1,0.12133299022130739,0.16829644879053007,-0.03319608852290268,-0.17246696035242293
2026-02-02,NASDAQ:ADI,0.38523325,0.38523325,1,1.0,1,1,0.09808748343116824,0.14624755412485002,-0.05144227734646223,-0.17246696035242293
2026-02-03,NASDAQ:ADI,0.38523325,0.38523325,1,1.0,1,1,0.13656076327540223,0.16675768575925964,-0.034469465771467145,-0.17246696035242293
2026-02-04,NASDAQ:ADI,0.38523325,0.38523325,1,1.0,1,1,0.1591873673698665,0.16230807639495692,-0.06203969541879917,-0.17246696035242293
