date,strat_equity,idx_equity
2021-12-21,100000.0,100000.0
2021-12-22,100000.0,101018.01972205788
2021-12-23,100000.0,101646.7255634885
2021-12-27,100000.0,103053.4080166795
2021-12-28,99379.09,102949.30811690402
2021-12-29,101066.42,103093.63225156047
2021-12-30,97474.56000000001,102785.40748777808
2021-12-31,97347.07,102515.47451521657
2022-01-03,100384.18,103168.91353501394
2022-01-04,100885.33000000002,103103.95612176621
2022-01-05,98478.73000000001,101104.48607343517
2022-01-06,99792.5,101007.04470235799
2022-01-07,97695.05,100597.9442790373
2022-01-10,98004.66,100452.97949729789
2022-01-11,100766.5,101373.12724941956
2022-01-12,98737.6,101658.77182913039
2022-01-13,99073.89,100210.78339270521
2022-01-14,101667.97,100292.9542579033
2022-01-18,99026.88,98448.77286151741
2022-01-19,97786.49,97494.84935498917
2022-01-20,94776.92050000001,96418.76180142818
2022-01-21,92389.4305,94595.01809722985
2022-01-24,92817.3005,94857.21079273985
2022-01-25,93310.1205,93702.61771548822
2022-01-26,93721.52050000001,93562.37901878703
2022-01-27,93651.07049999999,93058.63086576732
2022-01-28,94615.03050000002,95324.38954997483
2022-01-31,94400.13049999998,97124.68136997233
2022-02-01,95848.5405,97791.24840376478
2022-02-02,95569.46050000002,98712.68795246357
2022-02-03,94332.7805,96304.97867852991
2022-02-04,95109.93050000002,96801.61669916988
2022-02-07,94652.64050000001,96443.28493157102
2022-02-08,93522.4605,97253.52495052577
2022-02-09,95486.2605,98665.37459002525
2022-02-10,94738.8205,96877.97973097654
2022-02-11,94890.4805,95040.25731747624
2022-02-14,93556.22050000001,94675.24601635667
2022-02-15,93775.5405,96167.96422206593
2022-02-16,93936.9005,96252.70817800704
2022-02-17,93149.89050000001,94214.73629023119
2022-02-18,93310.9605,93539.57828408034
2022-02-22,92313.89050000001,92590.81146144938
2022-02-23,92462.85050000002,90886.0180664578
2022-02-24,91570.9605,92245.38715721048
2022-02-25,93558.2605,94309.1634692951
2022-02-28,95126.92050000001,94078.8035821204
2022-03-01,94487.27050000001,92623.07486864371
2022-03-02,94303.5505,94349.8183030351
2022-03-03,93999.92050000001,93854.04148011321
2022-03-04,94401.2805,93109.39952148915
2022-03-07,92758.47050000001,90360.98152594363
2022-03-08,92525.8905,89707.33245792236
2022-03-09,91730.0905,92012.65372510548
2022-03-10,91591.4005,91617.75256172188
2022-03-11,91520.9105,90430.24492778175
2022-03-14,91334.8805,89759.16185717499
2022-03-15,91561.7205,91680.77753130952
2022-03-16,91883.4305,93732.93817661128
2022-03-17,91963.4605,94890.33539765226
2022-03-18,92130.4105,95996.97446538263
2022-03-21,92080.5905,95955.24838570063
2022-03-22,92148.4305,97039.9374140312
2022-03-23,91933.2505,95848.99549162995
2022-03-24,92313.2605,97223.84513648566
